ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Τ02Α,Καρδιοθωρακική / αγγειοχειρουργική επέμβαση σε νεογνά,20279.00,23,72.59,Τ
Τ03Α,Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 1000-1499 gr,16846.00,48,294.58,Τ
Τ04Α,Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 1500 1999 gr,11997.00,34,240.09,Τ
Τ05Α,Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 2000-2499 gr,10357.00,27,225.97,Τ
Τ06Μ,Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής >2499 gr με πολλαπλά σοβαρά προβλήματα,15128.00,30,75.13,Τ
Τ06Χ,Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής >2499 gr χωρίς πολλαπλά σοβαρά προβλήματα,5062.00,13,91.59,Τ
Τ20Μ,"Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή χωρίς σημαντική χειρουργική επέμβαση, νεογέννητα",244.00,2,124.87,Τ
Τ20Χ,Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή χωρίς σημαντική χειρουργική επέμβαση εκτός νεογέννητων,512.00,2,57.24,Τ
Τ21Α,Νεογνά με βάρος εισαγωγής <750 gr,41579.00,73,131.09,Τ
Τ22Α,Νεογνά με βάρος εισαγωγής 750-999 gr,30725.00,65,64.03,Τ
Τ23Α,Νεογνά με βάρος εισαγωγής 1000-1249 gr χωρίς σημαντική χειρουργική επέμβαση,7359.00,25,139.62,Τ
Τ24Α,Νεογνά με βάρος εισαγωγής 1250 -1499 gr χωρίς σημαντική χειρουργική επέμβαση,5818.00,26,157.67,Τ
Τ25Μα,Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με πολλαπλά μείζονα προβλήματα,5872.00,24,111.05,Τ
Τ25Μβ,Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με σημαντικά προβλήματα,4145.00,20,153.01,Τ
Τ25Μγ,Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με άλλα προβλήματα,3158.00,18,220.45,Τ
Τ25Χ,Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση χωρίς προβλήματα,2646.00,15,95.01,Τ
Τ26Μα,Νεογνά με βάρος εισαγωγής 2000 - 2499 gr χωρίς σημαντική χειρουργική επέμβαση με πολλαπλά προβλήματα,3719.00,15,93.77,Τ
Τ26Μβ,Νεογνά με βάρος εισαγωγής 2000 - 2499 gr χωρίς σημαντική χειρουργική επέμβαση σημαντικά προβλήματα,2346.00,12,202.37,Τ
Τ26Μγ,Νεογνά με βάρος εισαγωγής 2000 - 2499 gr χωρίς σημαντική χειρουργική επέμβαση με λοιπά προβλήματα,1644.00,11,145.64,Τ
Τ26Χ,Νεογνά με βάρος εισαγωγής 2000 - 2499 gr χωρίς σημαντική χειρουργική επέμβαση χωρίς προβλήματα,716.00,5,220.78,Τ
Τ27Μα,Νεογνά με βάρος εισαγωγής >2499 gr χωρίς σημαντική χειρουργική επέμβαση πολλαπλά μείζονα προβλήματα,3076.00,12,174.42,Τ
Τ27Μβ,Νεογνά με βάρος εισαγωγής >2499 gr χωρίς σημαντική χειρουργική επέμβαση σημαντικά προβλήματα,1294.00,7,195.79,Τ
Τ27Μγ,Νεογνά με βάρος εισαγωγής >2499 gr χωρίς σημαντική χειρουργική επέμβαση λοιπά προβλήματα,918.00,5,108.05,Τ
Τ27Χ,Νεογνά με βάρος εισαγωγής >2499 gr χωρίς σημαντική χειρουργική επέμβαση χωρίς προβλήματα,428.00,3,209.48,Τ
Ξ01Α,Σπληνεκτομή,3476.00,7,164.89,Ξ
Ξ02Μ,Λοιπές χειρουργικές επεμβάσεις αίματος και αιμοποιητικών οργάνων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,4655.00,13,216.71,Ξ
Ξ02Χ,Λοιπές χειρουργικές επεμβάσεις αίματος και αιμοποιητικών οργάνων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,781.00,2,274.73,Ξ
Ξ20Μ,Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1945.00,7,166.31,Ξ
Ξ20Χα,Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές με κακοήθεια,786.00,3,121.91,Ξ
Ξ20Χβ,Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς κακοήθεια,257.00,1,186.65,Ξ
Ξ21Μ,Δυσλειτουργίες ερυθρόκυττάρων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1136.00,6,68.47,Ξ
Ξ21Χ,Δυσλειτουργίες ερυθρόκυττάρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,315.00,1,286.31,Ξ
Ξ22Α,Διαταραχές πήξεως αίματος,514.00,3,296.91,Ξ
Σ01Μ,Λέμφωμα και λευχαιμία με μείζονες χειρουργικες΄επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,8558.00,23,124.79,Σ
Σ01Χ,Λέμφωμα και λευχαιμία με μείζονες χειρουργικές Επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2236.00,6,290.51,Σ
Σ02Μ,Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5777.00,18,222.58,Σ
Σ02Χα,Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις με σοβαρές ή μεσαίου μεγέθους συνυπάρχουσες παθήσεις - επιπλοκές,3109.00,8,164.21,Σ
Σ02Χβ,Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,2056.00,5,125.53,Σ
Σ03Μ,Λέμφωμα και λευχαιμία με άλλες χειρουργικές επεμβάσεις με μείζονες χειρουργικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,6097.00,20,299.84,Σ
Σ03Χ,Λέμφωμα και λευχαιμία με άλλες χειρουργικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1099.00,3,263.33,Σ
Σ04Μ,Λοιπές νεοπλαστικές διαταραχές με χειρουργικές επεμβάσεις με συνυπάρχουσες παθήσεις - επιπλοκές,1694.00,7,76.66,Σ
Σ04Χ,Λοιπές νεοπλαστικές διαταραχές με χειρουργικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,966.00,2,145.34,Σ
Σ20Μ,Οξεία λευχαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,7435.00,17,139.74,Σ
Σ20Χ,Οξεία λευχαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,988.00,3,123.97,Σ
Σ21Μ,Λέμφωμα και μη-οξεία λευχαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3782.00,14,224.82,Σ
Σ21Χ,Λέμφωμα και μη-οξεία λευχαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1886.00,5,55.48,Σ
Σ21Α,"Λέμφωμα και μη-οξεία λευχαιμία, την ίδια ημέρα",294.00,1,257.51,Σ
Σ22Μ,Λοιπές νεοπλαστικές παθήσεις με συνυπάρχουσες παθήσεις - επιπλοκές,1253.00,6,148.95,Σ
Σ22Χ,Λοιπές νεοπλαστικές παθήσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,638.00,2,52.02,Σ
Ρ01Α,"Σύνδρομο επίκτητης ανοσολογικής ανεπάρκειας (HIV), ίδια μέρα",443.00,1,266.27,Ρ
Ρ05Μα,Ασθένειες σχετιζόμενες με το HIV με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,8110.00,20,244.58,Ρ
Ρ05Μβ,Ασθένειες σχετιζόμενες με το HIV με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3050.00,9,293.40,Ρ
Ρ05Χ,Ασθένειες σχετιζόμενες με το HIV χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2140.00,6,277.65,Ρ
Ρ10Μα,Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,7118.00,24,236.29,Ρ
Ρ10Μβ,Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες με σοβαρές ή μεσαίου μεγέθους συνυπάρχουσες παθήσεις - επιπλοκές,2688.00,12,258.21,Ρ
Ρ10Χ,Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1473.00,7,275.73,Ρ
Ρ20Α,Λοιμώδεις και παρασιτικές ασθενείς με μηχανική υποστήριξη αναπνοής,6023.00,11,243.94,Ρ
Ρ20Μ,Σηψαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2514.00,11,107.53,Ρ
Ρ20Χ,Σηψαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1261.00,6,250.48,Ρ
Ρ21Μ,Μετεγχειρητικές και μετεπεμβατικές λοιμώξεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1556.00,8,104.75,Ρ
Ρ21Χ,Μετεγχειρητικές και μετεπεμβατικές λοιμώξεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,778.00,4,97.53,Ρ
Ρ22Μ,Εμπύρετο αγνώστου προελεύσεως με συνυπάρχουσες παθήσεις – επιπλοκές,1105.00,5,112.66,Ρ
Ρ22Χ,Εμπύρετο αγνώστου προελεύσεως χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,444.00,2,238.89,Ρ
Ρ23Α,Ιογενής λοιμώξεις,428.00,2,241.87,Ρ
Ρ24Μα,Λοιπές λοιμώξεις και παρασιτικά νοσήματα με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,3773.00,14,220.21,Ρ
Ρ24Μβ,Λοιπές λοιμώξεις και παρασιτικά νοσήματα με μέτριου βαθμού συνυπάρχουσες παθήσεις – επιπλοκές,1401.00,6,84.19,Ρ
Ρ24Χ,Λοιπές λοιμώξεις και παρασιτικά νοσήματα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,623.00,3,74.29,Ρ
Χ20Α,"Θεραπεία διανοητικών διαταραχών με ηλεκτροσπασμοθεραπεία, ιδια μερα",148.00,1,206.86,Χ
Χ40Α,"Θεραπεία διανοητικών διαταραχών χωρίς ηλεκτροσπασμοθεραπεία, ιδια μερα",140.00,1,59.86,Χ
Χ41Α,Σχιζοφρένεια,3066.00,21,247.15,Χ
Χ42Μ,Παράνοια και οξεία ψυχωτική διαταραχή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ή με νομικό καθεστώς ψυχικής υγείας,3268.00,15,58.34,Χ
Χ42Χ,Παράνοια και οξεία ψυχωτική διαταραχή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ή χωρίς νομικό καθεστώς ψυχικής υγείας,1331.00,8,141.22,Χ
Χ43Α,Μείζονες συναισθηματικές διαταραχές,2568.00,14,82.85,Χ
Χ44Α,Άλλες συναισθηματικές διαταραχές και διαταραχές μετατροπής,1152.00,7,277.41,Χ
Χ45Α,Αγχώδεις διαταραχές,965.00,4,131.68,Χ
Χ46Α,Ψυχαναγκαστικές διαταραχές και διαταραχές διατροφής,4171.00,20,153.88,Χ
Χ47Α,Διαταραχή προσωπικότητας και οξείες αντιδράσεις,1214.00,6,100.20,Χ
Χ48Α,Διανοητικές δυσλειτουργίες παιδικής ηλικίας,3261.00,10,246.63,Χ
Ι20Α,Αλκοολική δηλητηρίαση και σύνδρομο στέρησης,366.00,2,269.12,Ι
Ι21Α,Δηλητηρίαση-τοξικότητα από χρήση ναρκωτικών και σύνδρομο στέρησης,1089.00,5,141.46,Ι
Ι22Μ,Δυσλειτουργία από χρήση αλκοόλ και εξάρτηση,910.00,6,175.45,Ι
Ι22Χ,"Δυσλειτουργία από χρήση αλκοόλ και εξάρτηση, της ίδιας μέρας",366.00,1,118.13,Ι
Ι23Α,Δυσλειτουργία από χρήση απιοειδών και εξάρτηση,576.00,5,91.14,Ι
Ι24Α,Δυσλειτουργία από χρήση άλλων ναρκωτικών και εξάρτηση,599.00,4,278.51,Ι
Φ01Α,Μηχανικός αερισμός αναπνοής ή κρανιακές επεμβάσεις για πολλαπλά μείζονα τραύματα,12204.00,21,286.05,Φ
Φ02Μ,"Επεμβάσεις ισχίου, μηριαίου και άκρων για πολλαπλά μείζονα τραύματα, συμπεριλαμβανομένης εμφύτευσης με καταστροφικές σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",9426.00,22,291.85,Φ
Φ02Χ,"Επεμβάσεις ισχίου, μηριαίου και άκρων για πολλαπλά μείζονα τραύματα, συμπεριλαμβανομένης εμφύτευσης χωρίς καταστροφικές σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",8412.00,15,123.79,Φ
Φ03Α,Επεμβάσεις κοιλιακής χώρας για πολλαπλά μείζονα τραύματα,5386.00,13,267.60,Φ
Φ04Μ,Λοιπές χειρουργικές επεμβάσεις για πολλαπλό τραύμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,8798.00,22,251.06,Φ
Φ04Χ,Λοιπές χειρουργικές επεμβάσεις για πολλαπλό τραύμα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,5558.00,11,167.08,Φ
Φ10Α,"Πολυτραυματίας, νεκρός ή διακομισθής σε άλλη μονάδα θεραπείας κάτω από 5 ημέρες",1472.00,1,68.82,Φ
Φ11Μ,Πολυτραυματίας χωρίς σημαντικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3657.00,15,238.54,Φ
Φ11Χ,Πολυτραυματίας χωρίς σημαντικές επεμβάσεις και χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1883.00,7,106.40,Φ
Φ22Μ,Μικροχειρουργική μεταφορά ιστών ή δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις- επιπλοκές για τραυματισμούς άκρας χειρός,2357.00,5,219.08,Φ
Φ22Χ,Δερματικό μόσχευμα για τραύματα του χεριού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,827.00,2,218.60,Φ
Φ24Μ,Λοιπές επεμβάσεις για τραύματα κάτω άκρων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2785.00,11,149.35,Φ
Φ24Χ,Λοιπές επεμβάσεις για τραύματα κάτω άκρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,934.00,2,261.44,Φ
Φ25Μ,Άλλες επεμβάσεις για τραύματα χεριών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις ή επιπλοκές,1256.00,4,189.33,Φ
Φ25Χ,Άλλες επεμβάσεις για τραύματα χεριών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,700.00,1,72.58,Φ
Φ26Μ,Άλλες επεμβάσεις για άλλους τραυματισμούς με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2460.00,9,148.64,Φ
Φ26Χ,Άλλες επεμβάσεις για άλλους τραυματισμούς χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,828.00,2,116.11,Φ
Φ27Μ,Δερματικό μόσχευμα για τραυματισμούς εκτός από μικροχειρουργική μεταφορά ιστών χεριού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3631.00,17,80.90,Φ
Φ27Χ,Δερματικό μόσχευμα για τραυματισμούς εκτός από μικροχειρουργική μεταφορά ιστών χεριού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1479.00,6,142.15,Φ
Φ40Α,"Τραύματα, δηλητηριάσεις και τοξικές επιδράσεις από φάρμακα με μηχανική υποστήριξη αναπνοής",3649.00,7,237.25,Φ
Φ60Μ,Τραύματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1144.00,7,115.54,Φ
Φ60Χ,Τραύματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,288.00,2,145.26,Φ
Φ61Α,Αλλεργικές αντιδράσεις,280.00,1,209.64,Φ
Φ62Μ,"Δηλητηριάσεις, τοξικές επιδράσεις φαρμάκων και άλλων ουσιών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",1183.00,4,142.87,Φ
Φ62Χ,"Δηλητηριάσεις, τοξικές επιδράσεις φαρμάκων και άλλων ουσιών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",374.00,2,218.71,Φ
Φ63Μ,Δευτερογενείς επιπλοκές θεραπείας με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1245.00,6,167.87,Φ
Φ63Χ,Δευτερογενείς επιπλοκές θεραπείας χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,506.00,3,204.89,Φ
Φ64Μ,"Άλλες διαγνώσεις τραυματισμού, δηλητηρίασης και τοξικής επίδρασης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",1159.00,5,285.79,Φ
Φ64Χ,"Άλλες διαγνώσεις τραυματισμού, δηλητηρίασης και τοξικής επίδρασης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές",303.00,1,132.00,Φ
Ζ01Α,Μηχανική υποστήριξη αναπνοής για εγκαυματίες και σοβαρά ολικού πάχους εγκαύματα,36068.00,38,202.52,Ζ
Ζ02Μ,Λοιπά εγκαύματα και δερματικά μοσχεύματα με συνυπάρχουσες παθήσεις-επιπλοκές,7225.00,18,211.91,Ζ
Ζ02Χ,Λοιπά εγκαύματα και δερματικά μοσχεύματα χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2979.00,6,208.85,Ζ
Ζ03Α,Λοιπές επεμβάσεις στο χειρουργείο για εγκαύματα,2312.00,5,166.07,Ζ
Ζ20Α,Εγκαύματα που διακομίστηκαν σε άλλη μονάδα < 5 ημέρες,241.00,1,225.27,Ζ
Ζ21Α,Σοβαρά εγκαύματα,848.00,4,212.31,Ζ
Ζ22Μ,Άλλα εγκαύματα με συνυπάρχουσες παθήσεις – επιπλοκές,1167.00,6,79.17,Ζ
Ζ22Χ,Άλλα εγκαύματα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,397.00,2,61.34,Ζ
S01Μ,Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας με σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2413.00,6,59.30,S
S01Χ,Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας χωρίς σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1334.00,1,298.98,S
S01Α,"Ενδοσκοπήσεις για διάγνωση για άλλη χρήση υπηρεσιών υγείας, ίδια ημέρα",540.00,1,79.03,S
S20Μ,Αποκατάσταση με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,2716.00,20,108.70,S
S20Χ,Αποκατάσταση χωρίς καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,1759.00,19,184.39,S
S20Α,"Αποκατάσταση, της ίδιας ημέρας",934.00,1,147.16,S
S21Μ,Σημεία και συμπτώματα,887.00,5,142.75,S
S21Χ,"Σημεία και συμπτώματα, της ίδιας ημέρας",232.00,1,287.35,S
S23Μ,Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2039.00,14,224.12,S
S23Χ,Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,848.00,6,185.05,S
S24Μ,Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας,770.00,4,196.84,S
S24Χ,"Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας, την ίδια ημέρα",216.00,1,231.65,S
S25Α,Συγγενείς ανωμαλίες και προβλήματα από την νεογνική περίοδο,1082.00,4,271.35,S
G01Μα,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5709.00,22,213.73,G
G01Μβ,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με σοβαρής βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,3573.00,9,258.42,G
G01Χ,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2182.00,3,203.91,G
W10Α,"Μη εφικτό να ταξινομηθούν, μικρής βαρύτητας",2014.00,3,284.76,W
W11Α,"Μη αποδεκτή κύρια διάγνωση, μικρής βαρύτητας",991.00,2,119.94,W
W13Α,"Διάγνωση για νεογνά, που δεν είναι συμβατή με την ηλικία/βάρος, μικρής βαρύτητας",685.00,2,222.57,W
